"name","brand","os","cpu_cores","cpu_threads","gpu_vram","ram_capacity","ram_ddr_type","hdd","ssd","screen_size","screen_res","touchscreen","user_rating","price","cpu","gpu"
"hp omen 17-cm2027tx gaming laptop (13th gen core i7/ 16gb ram/ 1tb ssd/ win 11/ 8gb graphics)","hp","windows","16.0","24.0","8.0","16.0","ddr5","0","1024","17.3","3K+","0","4.45","126200.0","intel core i7 13700hx","nvidia geforce rtx 4060"
"hp omen 16 max 16-ah0076tx gaming laptop (intel core ultra 9 275hx/ 32gb/ 1tb ssd/ win11/ 16gb nvidia geforce rtx 5080)","hp","windows","24.0","24.0","16.0","32.0","ddr5","0","1024","16.0","3K+","0","4.15","309990.0","intel core ultra 9 275hx","nvidia geforce rtx 5080"
"hp victus 15-fb3012ax gaming laptop (amd ryzen 5 8645hs/ 16gb/ 512gb ssd/ win11/ 6gb graph)","hp","windows","6.0","12.0","6.0","16.0","ddr5","0","512","15.6","HD+","0","4.1","72799.0","amd ryzen 5 8645hs","nvidia geforce rtx 3050"
"hp 15-fd0468tu laptop (13th gen core i7/ 16gb/ 512gb ssd/ win11 home)","hp","windows","10.0","12.0","0.0","16.0","ddr4","0","512","15.6","HD+","0","4.45","68490.0","intel core i7 1355u","intel integrated"
"hp 250r g9 b10mta#acj laptop (13th gen core i3/ 16gb/ 512gb ssd/ win11)","hp","windows","6.0","8.0","0.0","16.0","ddr4","0","512","15.6","SD","0","4.15","33400.0","intel core i3 1315u","intel integrated"
"hp 15-fd0492tu laptop (13th gen core i5/ 16gb/ 512gb ssd/ win11 home)","hp","windows","10.0","12.0","0.0","16.0","ddr4","0","512","15.6","HD+","0","4.35","56490.0","intel core i5 1334u","intel integrated"
"hp 15-fd0465tu laptop (13th gen core i3/ 8gb/ 512gb ssd/ win11 home)","hp","windows","6.0","8.0","0.0","8.0","ddr4","0","512","15.6","HD+","0","4.25","40900.0","intel core i3 1315u","intel integrated"
"hp victus fa1198tx gaming laptop (13th gen core i5/ 16gb/ 512gb ssd/ win11 home/ 6gb graph)","hp","windows","8.0","12.0","6.0","16.0","ddr4","0","512","15.6","HD+","0","4.75","72990.0","intel core i5 13420h","nvidia geforce rtx 4050"
"hp 255 g10 b15j0pt laptop (amd ryzen 5 7520u/ 8gb/ 512gb ssd/ dos)","hp","windows","4.0","8.0","0.0","8.0","ddr4","0","512","15.6","SD","0","4.65","29790.0","amd ryzen 5 7520u","amd integrated"
"hp victus 16-wf1150tx gaming laptop (14th gen core i7/ 16gb/ 1tb ssd/ win11/ 8gb rtx 4060)","hp","windows","16.0","24.0","8.0","16.0","ddr5","0","1024","16.1","HD+","0","4.7","122990.0","intel core i7 14650hx","nvidia geforce rtx 4060"
"hp 15-fd1197tu laptop (intel core ultra 5 125h/ 16gb/ 1tb ssd/ win11 home)","hp","windows","14.0","18.0","0.0","16.0","ddr5","0","1024","15.6","HD+","0","4.55","70490.0","intel core ultra 5 series 1 125h","intel integrated"
"hp victus 15-fa1278tx gaming laptop (13th gen core i5/ 16gb/ 512gb ssd/ win11/ 6gb rtx4050)","hp","windows","8.0","12.0","6.0","16.0","ddr4","0","512","15.6","HD+","0","4.3","77000.0","intel core i5 13420h","nvidia geforce rtx 4050"
"hp 15-fd0070tu laptop (12th gen core i5/ 8gb/ 512gb ssd/ win11 home)","hp","windows","10.0","12.0","0.0","8.0","ddr4","0","512","15.6","HD+","0","4.3","46390.0","intel core i5 1235u","intel integrated"
"hp 15-fd0061tu laptop (12th gen core i3/ 8 gb/ 512gb ssd/ win11 home)","hp","windows","6.0","8.0","0.0","8.0","ddr4","0","512","15.6","HD+","0","4.7","34990.0","intel core i3 1215u","intel integrated"
"hp 15-fd0111tu laptop (12th gen core i5/ 16gb/ 512gb ssd/ win11 home)","hp","windows","10.0","12.0","0.0","16.0","ddr4","0","512","15.6","HD+","0","4.2","48999.0","intel core i5 1235u","intel integrated"
"hp pavilion 16 ai 16-ag0019au laptop (amd ryzen 5 8540u/ 16gb / 512gb ssd/ win11)","hp","windows","6.0","12.0","0.0","16.0","ddr5","0","512","16.0","HD+","0","4.2","58990.0","amd ryzen 5 8540u","amd integrated"
"hp 15-fd0129tu laptop (13th gen core i3/ 8gb/ 512gb ssd/ win11 home)","hp","windows","6.0","8.0","0.0","8.0","ddr4","0","512","15.6","HD+","0","4.55","36990.0","intel core i3 1315u","intel integrated"
"hp victus special edition 15-fa1379tx gaming laptop (12th gen core i5/ 16gb/ 512gb ssd/ win11 home/ rtx 3050a)","hp","windows","8.0","12.0","4.0","16.0","ddr4","0","512","15.6","HD+","0","4.05","61990.0","intel core i5 12450h","nvidia geforce rtx 3050a"
"hp victus special edition 15-fa1382tx gaming laptop (12th gen core i7/ 16gb/ 512gb ssd/ win11 home/ rtx 3050a)","hp","windows","10.0","16.0","4.0","16.0","ddr4","0","512","15.6","HD+","0","4.35","68990.0","intel core i7 12650h","nvidia geforce rtx 3050a"
"hp victus 15-fa0333tx gaming laptop (12th gen core i5/ 16gb/ 512gb ssd/ win11/ 4gb rtx 3050)","hp","windows","8.0","12.0","4.0","16.0","ddr4","0","512","15.6","HD+","0","4.2","71500.0","intel core i5 12450h","nvidia geforce rtx 3050"
"hp 15s-fc0156au laptop (amd ryzen 5 7520u/ 16gb/ 512gb ssd/ win11 home)","hp","windows","4.0","8.0","0.0","16.0","ddr5","0","512","15.6","HD+","0","4.0","42990.0","amd ryzen 5 7520u","amd integrated"
"hp 15-fc0155au laptop (amd ryzen 5 7520u/ 8gb/ 512gb ssd/ win11 home)","hp","windows","4.0","8.0","0.0","8.0","ddr5","0","512","15.6","HD+","0","4.25","36990.0","amd ryzen 5 7520u","amd integrated"
"hp 14-gr1022tu laptop (intel core ultra 5 125h/ 16gb/ 512gb ssd/ win11 home)","hp","windows","14.0","18.0","0.0","16.0","ddr5","0","512","14.0","HD+","0","4.3","67890.0","intel core ultra 5 series 1 125h","intel integrated"
"hp 15-fd0123tu laptop (intel core i3 n305/ 8gb/ 512gb ssd/ win11 home)","hp","windows","8.0","8.0","0.0","8.0","ddr4","0","512","15.6","HD+","0","4.55","30490.0","intel core i3 n305","intel integrated"
"hp victus 15-fb2114ax gaming laptop (amd ryzen 7 8845hs/ 16gb/ 512gb ssd/ win11/ 6gb graph)","hp","windows","8.0","16.0","6.0","16.0","ddr5","0","512","15.6","HD+","0","4.1","84490.0","amd ryzen 7 8845hs","nvidia geforce rtx 4050"
"hp pavilion plus 16-ab0015tx laptop (13th gen core i5/ 16gb/ 512gb ssd/ win 11/ 6gb rtx3050 graphics","hp","windows","12.0","16.0","6.0","16.0","ddr5","0","512","16.0","3K+","0","4.25","82548.0","intel core i5 13500h","nvidia geforce rtx 3050"
"hp victus 15-fa1279tx gaming laptop (13th gen core i5/ 16gb/ 512gb ssd/ win11/ 6gb rtx4050)","hp","windows","8.0","12.0","6.0","16.0","ddr4","0","512","15.6","HD+","0","4.0","72990.0","intel core i5 13420h","nvidia geforce rtx 4050"
"hp victus 15-fa1327tx gaming laptop (13th gen core i5/ 16gb/ 512gb ssd/ win11 home/ 6gb rtx3050 graph)","hp","windows","8.0","12.0","6.0","16.0","ddr4","0","512","15.6","HD+","0","4.4","73799.0","intel core i5 13420h","nvidia geforce rtx 3050"
"hp 15-fd0186tu laptop (13th gen core i3/ 8gb/ 512gb ssd/ win11 home)","hp","windows","6.0","8.0","0.0","8.0","ddr4","0","512","15.6","HD+","0","4.1","37990.0","intel core i3 1315u","intel integrated"
"hp omen 16-xf0100ax gaming laptop (amd ryzen 9 7940hs/ 16gb/ 1tb ssd/ win11/ 8gb graph)","hp","windows","8.0","16.0","8.0","16.0","ddr5","0","1024","16.0","HD+","0","4.4","139990.0","amd ryzen 9 7940hs","nvidia geforce rtx 4070"
"hp pavilion 15-eh3036au laptop (amd ryzen 5 7530u/ 8gb/ 512gb ssd/ win11 home)","hp","windows","6.0","12.0","0.0","8.0","ddr4","0","512","15.6","HD+","0","4.05","41999.0","amd ryzen 5 7530u","amd integrated"
"hp 15s-fq5329tu laptop (12th gen core i5/ 8gb/ 512gb ssd/ win11 home)","hp","windows","10.0","12.0","0.0","8.0","ddr4","0","512","15.6","HD+","0","4.6","44999.0","intel core i5 1235u","intel integrated"
"hp pavilion plus 14-ew0116tu laptop (13th gen core i5/ 16gb/ 512gb ssd/ win 11)","hp","windows","10.0","12.0","0.0","16.0","ddr5","0","512","14.0","HD+","0","4.0","72490.0","intel core i5 1335u","intel integrated"
"hp 15s-fq5330tu laptop (12th gen core i5/ 16gb/ 512gb ssd/ win11 home)","hp","windows","10.0","12.0","0.0","16.0","ddr4","0","512","15.6","HD+","0","4.0","48900.0","intel core i5 1235u","intel integrated"
"hp omen 16-xf0081ax gaming laptop (amd ryzen 7 7840hs/ 32gb/ 1tb ssd/ win11/ 8gb graph)","hp","windows","8.0","16.0","8.0","32.0","ddr5","0","1024","16.0","3K+","0","4.35","135999.0","amd ryzen 7 7840hs","nvidia geforce rtx 4060"
"hp omen 16-wf1025tx gaming laptop (14th gen core i7/ 16gb/ 1tb ssd/ win11 home/ 8gb graph)","hp","windows","20.0","28.0","8.0","16.0","ddr5","0","1024","16.1","HD+","0","4.2","136990.0","intel core i7 14700hx","nvidia geforce rtx 4060"
"hp 15s-fr5012tu laptop (12th gen core i3/ 8gb/ 512gb ssd/ win11 home)","hp","windows","6.0","8.0","0.0","8.0","ddr4","0","512","15.6","HD+","0","4.65","34499.0","intel core i3 1215u","intel integrated"
"hp victus 15-fa1134tx laptop (12th gen core i7/ 16gb/ 512gb ssd/ win11 home/ 6gb graph)","hp","windows","10.0","16.0","6.0","16.0","ddr4","0","512","15.6","HD+","0","4.35","79990.0","intel core i7 12650h","nvidia geforce rtx 4050"
"hp victus 16-s0095ax gaming laptop (amd ryzen 7 7840hs/ 16gb/ 512gb ssd/ win11/ 6gb graph)","hp","windows","8.0","16.0","6.0","16.0","ddr5","0","512","16.1","HD+","0","4.0","76990.0","amd ryzen 7 7840hs","nvidia geforce rtx 3050"
"hp pavilion x360 14-ek1074tu laptop (13th gen core i5/ 16gb/ 512gb ssd/ win11)","hp","windows","10.0","12.0","0.0","16.0","ddr4","0","512","14.0","HD+","1","4.55","70032.0","intel core i5 1335u","intel integrated"
"hp omen 16-wd0880tx gaming laptop (13th gen core i5/ 16gb/ 512gb ssd/ win11 home/ 6gb graph)","hp","windows","8.0","12.0","6.0","16.0","ddr5","0","512","16.1","HD+","0","4.2","84990.0","intel core i5 13420h","nvidia geforce rtx 4050"
"hp 15-fc0026au laptop (amd ryzen 3 7320u/ 8gb/ 512gb ssd/ win11 home)","hp","windows","4.0","8.0","0.0","8.0","ddr5","0","512","15.6","HD+","0","4.05","29990.0","amd ryzen 3 7320u","amd integrated"
"hp envy x360 15-ew0021tx laptop (12th gen core i5/ 16gb/ 512gb ssd/ win11)","hp","windows","10.0","12.0","0.0","16.0","ddr4","0","512","15.6","HD+","1","4.4","74999.0","intel core i5 1235u","intel integrated"
"hp victus 16-d0311tx gaming laptop (11th gen core i5/ 16gb/ 512gb ssd/ win11/ 4gb graph)","hp","windows","6.0","12.0","4.0","16.0","ddr4","0","512","16.1","HD+","0","4.05","51999.0","intel core i5 11400h","nvidia geforce gtx 1650"
"hp chromebook 14a-ca0504tu laptop (celeron n4020/ 4gb/ 64gb emmc/ chrome os)","hp","chromeos","2.0","2.0","0.0","4.0","ddr4","64","0","14.0","SD","1","4.5","16990.0","intel celeron n4020","intel integrated"
"hp elitebook 840 g6 (8lx79pa) laptop (8th gen core i5/ 8gb/ 512gb ssd/ win10)","hp","windows","4.0","8.0","0.0","8.0","ddr4","0","512","14.0","HD+","0","4.7","90990.0","intel core i5 8265u","intel integrated"
"hp 240 g10 be5s0pt laptop (13th gen core i5/ 16gb/ 1tb ssd/ win 11)","hp","windows","10.0","12.0","0.0","16.0","ddr4","0","1024","14.0","HD+","0","4.35","64990.0","intel core i5 1334u","intel integrated"
"hp victus 15-fb0184axgaming laptop (amd ryzen 5 5600h/ 8gb/ 512gb ssd/ win11/ 4gb graph)","hp","windows","6.0","12.0","4.0","8.0","ddr4","0","512","15.6","HD+","0","4.2","51199.0","amd ryzen 5 5600h","amd radeon rx 6500m"
"hp 240r g9 b10msat laptop (13th gen core i3/ 16gb/ 512gb ssd/ dos)","hp","windows","6.0","8.0","0.0","16.0","ddr4","0","512","14.0","SD","0","4.0","42190.0","intel core i3 1315u","intel integrated"
"hp envy x360 14-fc0124tu laptop (intel core ultra 7 155u/ 16gb/ 512gb ssd/ win11)","hp","windows","12.0","14.0","0.0","16.0","ddr5","0","512","14.0","HD+","1","4.45","102499.0","intel core ultra 7 155u","intel integrated"
